排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
23,FarmVille: Tropic Escape,Zynga,模拟,4.5,"336,644","5,000,000",2018年12月12日,98,1.47.1736,com.zynga.FarmVilleTropicEscape,https://zyngasupport.helpshift.com/a/farmville-tropic-escape/?l=n,android.support@zynga.com
24,刺客信条：燎原 – Assassin’s Creed Rebellion,Ubisoft Entertainment,角色扮演,4.6,"189,364","1,000,000",2018年12月3日,28,2.0.2,com.ubisoft.accovenant,https://www.ubisoft.com/en-gb/game/assassins-creed-rebellion/,android.support@ubisoft.com
25,梦想小镇 (Township),Playrix Games,休闲,4.6,"4,769,573","50,000,000",2018年12月6日,因设备而异,6.3.0,com.playrix.township,https://www.playrix.com/township/index.html,support@playrix.com
26,新YAHTZEE? With Buddies,Scopely,桌面和棋类,4.2,"66,493","5,000,000",2018年12月11日,81,6.0.0,com.scopely.yux,http://www.scopely.com,newyahtzeesupport@scopely.com
27,Jewel Crush 2019,ZYMobile,益智,4.9,"9,821","100,000",2018年12月12日,38,8.0.0,com.zymobile.jewel.candy.cookie,http://www.zymobile.net,support@zymobile.net
28,Hustle Castle – 幻想王国,My.com B.V.,角色扮演,4.7,"856,989","10,000,000",2018年12月7日,68,1.8.0,com.my.hc.rpg.kingdom.simulator,http://hc.my.com,hustle-castle@corp.my.com
29,Fun Ball Adventure,Apre soft,冒险,3.1,55,"10,000",2018年11月26日,21,1.1,com.bouncyball.adventuregame.jumping,,michaelpan1547@gmail.com
30,Lucky Day - Win Real Money,"Lucky Day Entertainment, Inc.",赌场,4.6,"314,903","5,000,000",2018年12月3日,92,5.5.1,com.luckyday.app,https://www.luckydayapp.com,support@luckydayapp.com
31,汽车 坠毁 拆除 德比 模拟器 2018,GearsInMotion Games,竞速,4.5,"2,176","100,000",2018年12月9日,31,1.5,com.gearsinmotion.car.crashstunts,,gearsinmotiongames@gmail.com
32,Pocket Build,MoonBear LTD,模拟,4.3,"6,937","500,000",2018年12月9日,56,1.9.41,moonbear.PocketBuild,http://moonbear.co,contact@moonbear.com
33,星际海盗,Seven Pirates,策略,4.3,"143,746","5,000,000",2018年12月11日,79,1.15.0,com.sevenpirates.infinitywar,http://www.7piratesgames.com,support@sevenpiratesgames.mail.helpshift.com
34,大富豪赌场-免费经典老虎机游戏,22H Games,赌场,4.9,"28,826","100,000",2018年12月6日,46,1.1.18,com.tw.tycoon.casino,,22games@gmail.com
35,TrainStation - Game On Rails,Pixel Federation,模拟,4.3,"200,463","10,000,000",2018年11月21日,43,1.0.53.101,air.com.pixelfederation.TrainStationGame,http://www.pixelfederation.com,support@pixelfederation.com
36,土耳其方塊：愛消除,Habby,休闲,4.6,"14,042","1,000,000",2018年11月29日,28,2.2.19,com.mavis.slidey,http://slidey.habby.fun/,slidey@habby.fun
37,DanMachi - MEMORIA FREESE,"Ellation, Inc.",角色扮演,3.7,"4,822","100,000",2018年11月28日,78,5.1.2,com.us.danmemo,http://www.ellation.com,support-memoriafreese@help.wrightflyer.net
38,糖果女巫,gameone,休闲,4.8,"52,649","1,000,000",2018年12月12日,48,9.7.3911,com.game.candywitch.cookie.stars.free,,gaming.one@hotmail.com
39,Line Puzzle: Pipe Art,BitMango,益智,4.6,"3,350","500,000",2018年12月12日,因设备而异,1.2.4,com.bitmango.go.linepuzzlepipeart,https://www.facebook.com/bitmangogames,help@bitmango.com
40,Pixel Art Book - 减压数字填色游戏,Pinso Marketing Limited,益智,4.4,"22,758","1,000,000",2018年12月8日,23,1.4.4,com.gpower.pixelart,,picfunapps@gmail.com
41,Twisty Road！,VOODOO,街机,4.0,"84,404","10,000,000",2018年11月30日,41,1.9.9,com.PupInteractive.TwistyRoad,http://pupinteractive.com,support@pupinteractive.com
42,"Mining GunZ: shoot, destroy blocks, smelting ore",Ice Storm,街机,4.2,671,"100,000",2018年12月11日,59,1.0035,com.icestorm.miningGunz,,isorbgame@gmail.com
43,賓果派對,Dataverse Entertainment,桌面和棋类,4.7,"193,128","5,000,000",2018年12月8日,92,2.1.5,com.bingo.tour.party.crazy.free,,bingo@avid.ly
44,Idle Space Clicker,ColdFire Games GmbH,动作,4.5,"23,511","1,000,000",2018年11月19日,78,1.7.1,com.coldfiregames.spaceclicker,http://www.coldfiregames.com,googleplay@coldfiregames.com
45,Shuriken Master!,Athena Studio,街机,4.5,238,"10,000",2018年12月7日,43,1.1.1,athena.studio.shurikenmaster,http://athena.studio,support@athena.studio
46,Doomwalkers - Survival War,Rhea Games,策略,4.2,334,"10,000",2018年12月10日,40,1.8.0,com.Rhea.DoomwalkersSurvivalWar,http://www.rheamobile.com,dev@rheagame.com
47,婴儿护理：婴儿游戏,Games from YovoGames !,教育,4.3,"19,123","5,000,000",2018年6月26日,15,1.0.43,com.YovoGames.babycare,http://www.yovogames.com,yovogames@gmail.com
48,Infinite Word Search Puzzles,"Random Logic Games, LLC",文字,4.3,"28,803","5,000,000",2018年11月28日,因设备而异,因设备而异,com.randomlogicgames.wordsearch,http://randomlogicgames.com,support@randomlogicgames.com
49,Gems Blast,TAP GAMES,休闲,4.6,"11,418","500,000",2018年11月27日,56,30,com.gemsblast.puzzlelegend,,xiamen439@gmail.com
50,漂移竞速,Superfun Studio,街机,4.5,"13,100","1,000,000",2018年10月17日,67,1.1.1,com.driftchasing.speedwayracinggames,,xiayudonglei@gmail.com
51,Bible Verse Collect - Free Bible Word Games,iDailybread.org,文字,4.8,"42,649","1,000,000",2018年12月6日,38,2.7.0,bible.wordgame.words.connect.crossword.cookies,,cs@idailybread.org
52,Trigon:三角形俄罗斯方块,IEC Corp,益智,4.1,"3,901","1,000,000",2018年12月5日,29,1.9.2,com.DTA.trigon,,support@ieccorp.vn
53,Daily Themed Crossword - A Fun crossword game,PlaySimple Games,文字,4.4,"15,497","1,000,000",2018年12月6日,22,1.134.0,in.crossy.daily_crossword,https://playsimple.in,support@playsimple.in
54,Army Men Strike,FightClub,策略,4.4,"404,419","10,000,000",2018年12月11日,95,2.78.1,com.hts.ams,http://www.fightclubgames.net,developer@fightclubgames.net
55,Rival Regions: world strategy of war and politics,Rival Regions Games,策略,3.9,"20,998","1,000,000",2018年12月3日,3.4,1.2.1,com.rivalregions.rivalregions,http://rivalregions.com,support@rivalregions.com
56,Word Search: Hidden Words,BitMango,文字,4.6,"5,168","500,000",2018年12月11日,25,1.1.2,com.bitmango.go.wordsearchhiddenwords,https://www.facebook.com/bitmangogames,help@bitmango.com
57,卡通农场 (Hay Day),Supercell,休闲,4.5,"10,434,221","100,000,000",2018年12月10日,99,1_41_17,com.supercell.hayday,https://supercell.helpshift.com/a/hay-day/?p=web,gp-info@supercell.com
58,數獨 - 免費經典數獨謎題,"Sandbox Coloring,Number Coloring by Coloring Team",益智,4.7,"3,564","100,000",2018年12月6日,28,1.2.5,easy.sudoku.puzzle.solver.free,,support@dailyinnovation.biz
59,Basket Wall - Bounce Ball & Dunk Hoop,Crazy Labs by TabTale,街机,3.8,17,"5,000",2018年12月10日,52,1.0.3,com.crazylabs.basket.ball.wall,https://www.tabtale.com,WeCare@tabtale.com
60,萌島大作戰——聖誕快樂！,Aladin Interactive,休闲,4.5,"5,659","500,000",2018年12月12日,98,1.10.0,com.aladinfun.island.android,https://www.facebook.com/SmashIslandCommunity,wen@aladinfun.com
61,Trivia Crack 2,Etermax,知识问答,4.2,"42,698","1,000,000",2018年12月6日,84,1.7.4,com.etermax.trivia.preguntados2,http://www.etermax.com,support@etermax.com
62,真实足球模拟游戏,JustinGeorge Studio,体育,4.5,"10,225","1,000,000",2018年12月4日,40,1.0.2,com.realsoccerleague.freesimulation.sportsgamegame,,JustinGeorgeStudio@gmail.com
63,Scatter Slots - 免费赌场老虎机在线,Murka Entertainment Limited,赌场,4.6,"756,034","5,000,000",2018年12月5日,91,3.29.1,com.murka.scatterslots,https://murka.helpshift.com/a/scatter-slots/,support@murka.mail.helpshift.com
64,纸牌接龙,"Solitaire Card Games , Inc.",卡牌,4.7,"194,772","10,000,000",2018年11月29日,12,因设备而异,com.lemongame.klondike.solitaire,,lemongameinc@gmail.com
65,Spots Connect?,Launchship Studios,益智,4.5,"27,590","1,000,000",2018年11月28日,32,2.2.4,com.launchshipstudios.dots.connect,http://launchshipstudios.com,help@launchshipstudios.com
66,末世战场：放置英雄游戏,Moon Studios,策略,4.7,37,500,2018年12月12日,93,1.1.2,com.bettergame.ib,,jinyebuzhidao003@gmail.com
67,Classic Solitaire World,WePlay Pool Games,卡牌,4.9,8,"1,000",2018年12月10日,27,1.0.0,com.cardgames.classic.solitaire.world,,support@classicsolitaireworld.freshdesk.com
68,Idle World,Aviador / InMobile,模拟,4.4,"7,888","500,000",2018年9月19日,88,3.10.2,com.aviadorapps.idleuniverse,https://www.facebook.com/IdleWorld/,aviadorapps@gmail.com
69,Helix Shooter,Meloni Games,街机,3.5,167,"50,000",2018年12月6日,29,1.1,com.helix.shooter,,ugur92bey@gmail.com
70,Rocky Climb,SayGames,街机,4.6,"11,492","1,000,000",2018年10月26日,39,1.0.9,com.estoty.borntoclimb,https://borntoclimb.saygames.by/,info@saygames.by
71,Driving School 3D,nullapp,竞速,4.3,"52,338","5,000,000",2018年11月7日,92,20181107,com.nullapp.drivingschool3d,http://nullapp.com,support@nullapp.com
72,Happy Paint,Happy Pixel Team,知识问答,4.8,21,"1,000",2018年12月6日,46,1.0.0.1,color.by.number.paint.free.pixel,,bunana8citra@outlook.com
73,Temple Castle Run,Little Game,策略,4.1,15,"5,000",2018年11月26日,38,1.0.1,com.little.game.temple.castle.run,,edwardsoliverchristopher@gmail.com
74,财神娱乐城—免费澳门巨奖老虎机,TRIWIN,赌场,4.8,"20,577","500,000",2018年12月6日,89,5.0.1.22,triwin.casino.slots.fortune.gold,,goldfortunecasino@gmail.com
75,1942年经典射击,ONESOFT,街机,4.6,"15,418","1,000,000",2018年12月8日,45,2.67,com.os.wars.squadron,,falcon.game.2018@gmail.com
76,Christmas Bash - Santa Claus Match 3 Puzzle,Launchship Studios,益智,4.7,156,"10,000",2018年11月13日,35,1.2.4,com.launchshipstudios.christmas.sweeper.bash,http://launchshipstudios.com,launchshipstudios@gmail.com
77,Motocraft,FunsTime,竞速,4.1,167,"10,000",2018年12月6日,92,1.1.1,com.cmplay.motocraftteam,,guoli1@gmail.com
78,The Big Capitalist,Broken Reality,模拟,4.8,"76,446","1,000,000",2018年11月13日,35,1.4.4,com.brokenreality.thebigcapitalist.android,https://brokenrealityapp.wordpress.com/,lingzilau@gmail.com
79,Jeopardy! World Tour,Sony Pictures Television,知识问答,4.7,"113,455","1,000,000",2018年12月3日,因设备而异,3.2.1,com.sonypicturestelevision.jeopardy2,http://www.sonypictures.com/mobile/,jeopardy@uken.com
80,筏子上的生存: Survival on Raft - Ocean Nomad,Unisoft Games,模拟,4.3,"22,545","1,000,000",2018年12月11日,49,1.30,ocean.nomad.survival.simulator,http://gamesunisoft.com/,unisoftgames2018@gmail.com
81,Crash Reward - Win Prizes,Dragonix,休闲,4.7,"32,397","500,000",2018年11月13日,41,1.0.7,com.interlinked.games.ball.crash.reward,https://dragonixgame.wordpress.com/,interlinked.games@gmail.com
82,Infinite Bubble Shooter,Blast 2 Fun Games,冒险,4.5,"1,029","100,000",2018年12月9日,因设备而异,2.3.01,shooter.bubble.infinite,http://ilyon.net,support@ilyon.net
83,verydice,SquareTwo Inc,休闲,4.1,"13,748","1,000,000",2018年12月7日,因设备而异,1.4.9,com.verydice,https://www.verydice.com,support@verydice.com
84,Frontline Battle Game: Royale Strike,Tag Action Games,动作,3.9,"6,000","1,000,000",2018年12月4日,60,1.0.5,com.topactiongames.frontline.battle.game.royale.strike,http://www.tagincorp.com/,support@tagincorp.com
85,iPoly Art：天天乐拼图，有趣的数字涂色游戏,Shanghai Chuanmo Information Technology Limited,休闲,4.6,615,"100,000",2018年11月30日,15,1.1.0,com.chuanmo.poly,,polysupport@chuanmo.co
86,TriviaSpar,International Knowledge League,知识问答,4.3,169,"100,000",2018年11月29日,52,2.2.4,io.knowledge.triviaspar,https://www.triviaspar.com/,admin@iklpro.com
87,帝国的摇篮 Cradle of Empires Match-3 Game,Awem Games Limited,益智,4.4,"140,333","1,000,000",2018年11月29日,89,5.5.0,com.awem.cradleofempires.andr,http://awem.com/,support@awem.com
88,PES CARD COLLECTION,KONAMI,体育,4.2,"25,254","1,000,000",2018年12月7日,63,2.0.0,jp.konami.wecc,https://www.konami.com/games/jp/,ask-konami@faq.konami.com
89,Golf Rival,GR Sports Club,体育,4.4,"32,336","1,000,000",2018年10月26日,99,2.9.3,com.sports.real.golf.rival.online,,harploue@gmail.com
90,Choices: Stories You Play,Pixelberry,模拟,4.6,"928,457","10,000,000",2018年12月6日,81,2.4.0,com.pixelberrystudios.choices,http://www.pixelberrystudios.com/,googleplay@pixelberrystudios.com
91,Maya Block Puzzle,Microchaos,益智,4.6,"2,030","100,000",2018年11月28日,24,2.2.0,com.game.mayablockpuzzle_android,,jliu50047@gmail.com
92,Angry Birds Match,Rovio Entertainment Corporation,益智,4.7,"253,566","5,000,000",2018年12月4日,因设备而异,2.1.0,com.rovio.abmatch3,https://www.rovio.com,support@rovio.com
93,"Dead Reckoning: Snowbird's Creek",Big Fish Games,冒险,4.1,490,"10,000",2017年10月12日,16,1.0.1,com.bigfishgames.drscgoogfree,http://www.bigfishgames.com,info@bigfishgames.com
94,Survival Heroes - MOBA Battle Royale,Snail Games USA Inc,动作,4.4,"105,542","1,000,000",2018年12月6日,91,1.4.0,com.snailgamesusa.survival,,snailgamesuzhou@gmail.com
95,雪球大作战,"Geisha Tokyo, Inc.",动作,4.8,406,"10,000",2018年12月12日,42,1.2.4,com.geishatokyo.snowballio,http://www.geishatokyo.com/,hc+snowballio@geishatokyo.com
96,医生兽医,Games from YovoGames !,角色扮演,4.0,"4,714","1,000,000",2018年12月6日,24,1.1.0,com.YovoGames.doctorVet,http://yovogames.com,yovokids@gmail.com
97,Race.io,Vive,竞速,4.4,"7,643","500,000",2018年12月11日,57,270,com.vive.riderleague,,support@vivegames.co
98,Trivia Crack,Etermax,知识问答,4.5,"6,599,078","100,000,000",2018年12月10日,53,2.97.1,com.etermax.preguntados.lite,http://www.triviacrack.com,support@triviacrack.com
99,Icebreaker - Rescue,ITEC Game Studios,街机,3.4,53,"10,000",2018年12月11日,40,1.1.20,com.ITECGames.IceBreaker,http://www.itecgames.com,support@itecgames.com
100,American Mega Ramp Truck Racing Stunts: Impossible,United Gamerz,模拟,4.1,"1,178","500,000",2018年12月3日,59,1.0.6,com.apptxx.american.mega.ramp.truck.racing.stunts.impossible,,glowing.app@gmail.com
101,Stunt Bike Rider,United Gamerz,模拟,4.2,403,"100,000",2018年11月28日,63,1.0.8,com.stunt.bike.rider,,litegames365@gmail.com
102,自我剑：剑闲置唱首歌,Betdon,角色扮演,4.4,"2,851","100,000",2018年12月11日,39,0.60,com.betdon.egosword,https://www.betdon.net/,betdon.cs@gmail.com
103,Star Dream,Carbonhydrate Games,益智,4.4,48,"10,000",2018年12月6日,53,1.4,com.game.stardream,,mzhe4531@gmail.com
104,Counter Terrorist Strike: Free Action Game,Royale Games Studios,动作,4.2,277,"10,000",2018年10月24日,51,2.0.1,com.rgs.counter.terrorist.strike,http://www.royalegamestudios.com,royalegamestudios@gmail.com
105,Merge Fish!,KAKAXI STUDIO,休闲,4.7,110,"5,000",2018年12月5日,32,1.0.4,com.joyfort.fishmerger,,xsanbbshryds@gmail.com
106,Flip Stack,Flip Stack Studio,模拟,4.7,6,100,2018年12月10日,41,1.01,com.flip.stack.trickster,,ltylsy111@gmail.com
107,Super Rata,NEGAS,冒险,4.7,410,"10,000",2018年12月9日,3.4,1.0.1.0,com.negas.superrata,http://negas.tv,jonathan@ludeku.net
108,RIVAL: Crimson x Chaos [Strategy Card PvP],"Section Studios, Inc.",卡牌,4.2,"1,737","50,000",2018年11月27日,67,1.7.0,com.sectionstudios.rival,http://www.rivalcxc.com,rivalsupport@sectionstudios.com
109,Lightning Link Casino – 免费网上赌场老虎机游戏,Product Madness,赌场,4.5,"14,703","500,000",2018年12月12日,93,4.4.1,com.productmadness.lightninglink,http://www.productmadness.com,LLAndroidsupport@productmadness.com
110,Police Chase Extreme City 3D Game,Super Games Apps Dev,模拟,3.2,"1,088","100,000",2018年10月27日,7.0,4.0,com.wallpapersapps.greenmonster,,lukecampbellviao@gmail.com
111,Brick Breaker: Blocks vs Balls,BitMango,益智,4.6,"1,418","100,000",2018年12月12日,22,1.0.9,com.bitmango.go.brickbreakerblocksnballs,https://www.facebook.com/bitmangogames,help@bitmango.com
112,Word Album - A crossword puzzle,WeFun Games,文字,4.7,33,"1,000",2018年12月11日,34,1.0.6,puzzle.wordgame.boardcrossy,,alanvelezvip@gmail.com
113,Big Brain - Functional Brain Training,PocketLand,益智,4.6,104,"10,000",2018年12月11日,31,1.11,com.leodesol.games.big.brain.training.puzzle,,business@pocketland.com
114,格斗游戏 -少林和尚与忍者,City Street Fighting Games,动作,4.4,"1,267","100,000",2018年11月14日,因设备而异,因设备而异,com.citystreetfightinggames.ninjabattles,,trivediharesh1010@gmail.com
115,房地產：裝載機卡車交貨模擬器,Brilliant Gamez,模拟,4.2,178,"100,000",2018年11月29日,73,1.0,com.brilliantgamez.classic.cars.transport.truckdriver,http://www.brilliantgamez.com,brilliantgamez@gmail.com
116,Sky Hopper – Sky Jump Game for Free,Duoni,休闲,4.0,1,100,2018年12月7日,33,1.0,com.hippogames.upupup,,duonidalao2018@gmail.com
117,Mr. Go Home,MARKAPP.INC,街机,3.4,193,"10,000",2018年12月7日,46,1.0.8,com.app.gohome,http://www.mark-app.co.jp/,markapp.app.info@gmail.com
118,Lucky Scratch - Win Prizes & Redeem Rewards,Darro Fun,休闲,4.7,"1,308","100,000",2018年8月10日,15,1.0.2,com.darrofun.luckyscratch,https://infinityscratch2.wordpress.com,darrofun@gmail.com
119,Fire Emblem Heroes,"Nintendo Co., Ltd.",模拟,4.6,"431,669","5,000,000",2018年12月10日,因设备而异,3.0.0,com.nintendo.zaba,https://fire-emblem-heroes.com/,fire-emblem-heroes-support@nintendo.co.jp
120,Golf N Rage: Arcade Driving Range Game,BootJet Games Inc.,体育,4.2,325,"10,000",2018年11月16日,53,1.5.0,com.boatrocker.drivingrage,http://bootjetgames.com,james@bootjetgames.com
121,Mafia City,YottaGames,策略,4.4,"301,535","10,000,000",2018年12月7日,60,1.3.365,com.yottagames.mafiawar,,mafia@yottagames.com
122,的火柴人 猎枪 射击 - 的火柴人 游戏,Gaming Zone LLC,动作,4.3,"1,289","1,000,000",2018年11月28日,20,1.0,com.gzl.stickman.adventure.game,,contactgamingstrt@gmail.com
123,Path of Defiance,Iron Horse Games LLC,模拟,3.9,130,"10,000",2018年12月10日,44,1.1.0,com.HamAndSwissGames.PathOfDefiance,http://www.ironhorsegames.org,hamandswissgames@gmail.com
124,Episode - Choose Your Story,Episode Interactive,模拟,4.4,"2,100,328","50,000,000",2018年12月3日,因设备而异,因设备而异,com.episodeinteractive.android.catalog,https://pocketgems.com/episode/,episode.support@pocketgems.zendesk.com
125,Word Fire - Free Word Games,Twisted Bamboo LLC,文字,4.9,"7,935","100,000",2018年11月13日,44,1.105,com.word.fire.android,https://twistedbamboollc.com,support@twistedbamboollc.com
126,Puzzle & Dragons,GungHoOnlineEntertainment,益智,4.3,"124,492","5,000,000",2018年12月11日,37,16.0.0,jp.gungho.padEN,https://www.puzzleanddragons.us/,PAD_support_NA@GUNGHOONLINE.COM
127,Dized,Playmore Games,桌面和棋类,3.8,137,"10,000",2018年12月10日,42,3.2.1,fi.playmoregames.dized,http://www.dized.com,info@dized.com
128,PAC-MAN,BANDAI NAMCO Entertainment America Inc.,街机,4.2,"736,627","100,000,000",2018年11月16日,44,7.0.6,com.namcobandaigames.pacmantournaments,http://www.bandainamcogames.com,PM_Support@bandainamcoent.com
129,Pixel Crusher,freedomgame,休闲,5.0,8,500,2018年12月8日,35,1.0.2,com.freegame.Pixelcrusher,,congniubi@gmail.com
130,Respawnables - FPS 特种部队,DIGITAL LEGENDS ENTERTAINMENT SL,动作,4.4,"1,545,771","10,000,000",2018年12月10日,因设备而异,因设备而异,com.dle.respawnables,http://www.digital-legends.com,respawnables.android@digital-legends.com
131,深海水族館-點點可培養的水族館,Cheetah Games,模拟,4.6,"362,668","10,000,000",2018年12月4日,86,1.8.3,com.idleif.abyssrium,http://www.cmcm.com,abysshelp@conew.com
132,RISK: Global Domination,SMG Studio,桌面和棋类,4.0,"80,172","5,000,000",2018年11月26日,75,1.22.64.468,com.hasbro.riskbigscreen,http://www.smgstudio.com,support-risk@smgstudio.com
133,Merge Solitaire,Mark Fun Play,益智,4.3,907,"100,000",2018年12月11日,37,1.3.7,com.markfunplay.s2048,,markzhou@markfunplay.com
134,Zombie Frontier 3: Sniper FPS,FT Games,动作,4.4,"373,461","10,000,000",2018年9月27日,79,2.14,com.feelingtouch.zf3d,,seasnake.198209@gmail.com
135,空当接龙,"Card Games, HHS Daily",卡牌,4.6,222,"10,000",2018年12月11日,28,1.2.7,com.card.games.solitaire,,google@caelumart.com
136,Archery Star,Tap Run,体育,4.6,"4,233","100,000",2018年10月24日,77,1.2.2,com.taprun.sport.archerystar,,taprunstudio@outlook.com
137,Wordsdom – Best Word Puzzles,The Great Hippo,文字,4.6,"29,339","1,000,000",2018年12月6日,32,1.3.7,com.hippogame.wordsdom,http://hippo-gaming.com,hippogame2018@gmail.com
138,CELL 13,errorsevendev,益智,4.5,"2,614","100,000",2018年12月7日,37,1.09,com.errorsevendev.games.cell13Pro,http://www.playcell13.com,apexcreativegames@gmail.com
139,实况球会经理人,KONAMI,体育,4.4,"834,081","10,000,000",2018年12月10日,67,2.1.0,jp.konami.pesclubmanager,http://www.konami.jp/pescm/,ask-konami@faq.konami.com
140,Air Force Shooter 3D - Helicopter Games,Yes Games Studio,动作,4.4,"27,712","5,000,000",2018年9月15日,因设备而异,因设备而异,com.freegames.airshooter,,freetapgames@gmail.com
141,Classic Solitaire,Card Games 2018,卡牌,4.5,"1,199","100,000",2017年12月12日,38,1.4,com.slots.cardgames.classicsolitaire,,skyfall04122017@gmail.com
142,One Clue Crossword,AppyNation Ltd.,文字,4.5,"56,784","500,000",2018年12月4日,88,3.2,com.appynation.occw,http://www.appynation.com,support@appynation.com
143,Age of Civilizations II - Lite,?ukasz Jakowski,策略,4.4,132,"1,000",2018年12月11日,78,1.01415_ELA_LITE,age.of.civilizations2.jakowski.lukasz.lite,https://store.steampowered.com/app/603850/Age_of_Civilizations_II/,jakowskidev@gmail.com
144,赛车游戏的孩子,Ola&Olo,教育,3.2,"4,424","1,000,000",2018年12月5日,5.0,5,com.olaolo.toddlercars,http://www.olaolo.com/,kozak@kaender.com
145,Fast & Furious Takedown,Universal Studios Interactive Entertainment LLC,竞速,4.1,"3,421","500,000",2018年12月5日,49,1.1.51,com.nbcuni.usie.fftakedown,https://nbcuniversal.helpshift.com/a/fast-furious-takedown/,support@nbcuniversal.mail.helpshift.com
146,Supa Strikas Dash - Dribbler Runner Game,Superebel Games,街机,4.4,"13,180","1,000,000",2018年10月26日,43,1.45,com.sprbl.supaStrikas,http://www.supastrikas.com/,superebel.games@gmail.com
147,Jewels Forest : Match 3 Puzzle,PivotGames. Inc.,益智,4.8,788,"10,000",2018年12月11日,30,37,com.pivotgames.jewelmatch3.gp,http://www.pivotgames.net,pivotgameshelp@gmail.com
148,Merge Runners,Dimico Games,休闲,4.6,12,"5,000",2018年11月27日,38,311,com.dimico.mergerunners,,dimicogames@gmail.com
