排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
20,Word Search Puzzle,Word Search Puzzle Games,文字,4.5,"36,376","500,000",2018年11月23日,16,2.15.1,word.search.puzzle,,wordpuzzlegamez@gmail.com
21,Happy Color – 按数字编号上色的涂色书,X-Flow,桌面和棋类,4.7,"603,253","10,000,000",2018年12月12日,23,2.3.0,com.pixel.art.coloring.color.number,http://x-flow.app,support@x-flow.app
22,Magic Tiles 3,AMANOTES,音乐,4.5,"770,313","100,000,000",2018年12月6日,因设备而异,6.11.055,com.youmusic.magictiles,,support@amanotes.com
23,Merge Plane - Click & Idle Tycoon,Merger Games,模拟,4.7,"1,343,175","10,000,000",2018年12月8日,44,1.5.5,com.brokenreality.planemerger.android,https://mergergame.wordpress.com/,merger.e.games@gmail.com
24,Word Stacks,PeopleFun,文字,4.9,"48,307","1,000,000",2018年12月7日,52,1.0.5,com.peoplefun.wordstacks,http://www.peoplefun.com,support@peoplefun.com
25,Kick the Buddy,Playgendary,动作,4.3,"1,525,560","50,000,000",2018年7月5日,因设备而异,因设备而异,com.playgendary.kickthebuddy,http://www.playgendary.com/,support@playgendary.com
26,PUBG MOBILE,Tencent Games,动作,4.5,"8,469,149","100,000,000",2018年10月25日,39,0.9.0,com.tencent.ig,http://www.pubgmobile.com,PUBGMOBILE_CS@tencentgames.com
27,Flip Skater,Miniclip.com,体育,4.5,"25,307","1,000,000",2018年12月4日,94,1.28,com.miniclip.topskater,http://www.miniclip.com/,support@miniclip.com
28,Tomb of the Mask,Playgendary,动作,4.3,"306,926","10,000,000",2018年8月15日,39,1.3,com.playgendary.tom,http://www.playgendary.com/,support@playgendary.com
29,8 Ball Pool,Miniclip.com,体育,4.5,"15,281,806","100,000,000",2018年12月6日,53,4.2.0,com.miniclip.eightballpool,http://www.miniclip.com/,support@miniclip.com
30,Knock Balls,VOODOO,街机,4.6,"57,412","5,000,000",2018年11月22日,59,1.10,com.ohmgames.chambouletout,,support@voodoo.io
31,Toon Blast,Peak Games,益智,4.7,"1,868,179","10,000,000",2018年12月3日,因设备而异,3607,net.peakgames.toonblast,https://peakgames.helpshift.com/a/toon-blast/,support@peakgames.net
32,黑洞大作战,VOODOO,街机,4.3,"421,633","10,000,000",2018年11月28日,78,1.5.2,io.voodoo.holeio,,support@voodoo.io
33,Tap Color 按数字编号上色的填色本,Puzzle Saga Studio,桌面和棋类,4.8,"5,033","100,000",2018年12月11日,48,1.5.1,com.pixel.art.coloring.by.number,,support@colorbynumber.freshdesk.com
34,Sniper 3D Assassin?: 免费射击游戏 Shoot to Kill,Fun Games For Free,动作,4.6,"8,858,556","100,000,000",2018年12月10日,因设备而异,因设备而异,com.fungames.sniper3d,https://www.fungames-forfree.com/games/sniper3d,support+sniper3d@fungames-forfree.com
35,Pixel Art Book - 减压数字填色游戏,Pinso Marketing Limited,益智,4.4,"22,723","1,000,000",2018年12月8日,23,1.4.4,com.gpower.pixelart,,picfunapps@gmail.com
36,Tank Stars,Playgendary,街机,4.2,"349,924","10,000,000",2018年11月1日,因设备而异,1.3.1,com.playgendary.tanks,http://www.playgendary.com/,support@playgendary.com
37,Rise Up,Serkan ?zy?lmaz,街机,4.2,"969,130","100,000,000",2018年10月20日,38,1.3.1,com.riseup.game,http://serkanozyilmaz.net/,magnificientgames2018@gmail.com
38,Command & Conquer: Rivals PVP,ELECTRONIC ARTS,策略,3.9,"55,959","1,000,000",2018年11月29日,77,1.2.3,com.ea.gp.candcwarzones,http://www.ea.com/android,help@eamobile.com
39,Ball Blast,VOODOO,街机,4.5,"51,267","1,000,000",2018年11月16日,42,1.7.3,com.nomonkeys.ballblast,http://www.voodoo.io,support@voodoo.io
40,Planet Bomber!,VOODOO,街机,3.1,"23,612","5,000,000",2018年12月5日,55,13.0,com.paulaugustel.bomber,https://www.voodoo.io/,support@voodoo.io
41,Crashy Cops!,Do Global Games,竞速,2.7,935,"100,000",2018年12月3日,43,1.3,pampam.crashy.cops,,lichen@do-global.com
42,Trivia Crack,Etermax,知识问答,4.5,"6,599,061","100,000,000",2018年12月10日,53,2.97.1,com.etermax.preguntados.lite,http://www.triviacrack.com,support@triviacrack.com
43,slither.io,Lowtech Studios,动作,4.4,"5,505,166","100,000,000",2017年11月14日,因设备而异,因设备而异,air.com.hypah.io.slither,http://slither.io,team@slither.io
44,Go Fish!,Kwalee Ltd,街机,4.2,"30,705","1,000,000",2018年11月27日,49,1.1.12,com.kwalee.gofish1,http://www.kwalee.com,info@kwalee.com
45,Pocket Build,MoonBear LTD,模拟,4.3,"6,933","500,000",2018年12月9日,56,1.9.41,moonbear.PocketBuild,http://moonbear.co,contact@moonbear.com
46,金币大师,Moon Active,休闲,4.5,"926,883","10,000,000",2018年11月20日,因设备而异,因设备而异,com.moonactive.coinmaster,http://moonactive.zendesk.com,support@coinmastergame.com
47,Car bumper.io - Roof Battle,MUSIC TEAM,动作,3.7,"2,926","500,000",2018年11月26日,51,1.0.5,bumper.car.bumper.io.cars.games,,ztdiymobile@gmail.com
48,Slime Road,tastypill,动作,4.3,"2,060","500,000",2018年12月10日,39,2.4,com.rubygames.splashyjump,http://www.tastypill.com,support@tastypill.com
49,鋼琴塊2?（別踩白塊兒2）,Cheetah Games,街机,4.7,"8,268,635","100,000,000",2018年12月8日,因设备而异,3.1.0.530,com.cmplay.tiles2,http://www.cmcm.com/,pianotiles@cmcm.com
50,夢幻鋼琴 2018,Tap Lab,音乐,4.7,"275,486","10,000,000",2018年12月10日,71,1.30.1,com.eyu.piano,,musicgamestudioserver@gmail.com
51,Color Road!,VOODOO,街机,4.1,"158,104","10,000,000",2018年11月22日,82,3.2,com.bigframes.color_road,http://www.voodoo.io/,support@voodoo.io
52,跳舞的线(Dancing Line),Cheetah Games,街机,4.8,"1,410,741","50,000,000",2018年12月9日,因设备而异,2.3.5.1,com.cmplay.dancingline,http://www.cmcm.com,cmcmgames@gmail.com
53,Word Cross,WePlay Word Games,文字,4.7,"167,934","10,000,000",2018年10月31日,31,1.0.70,com.wordgame.puzzle.board.en,,support@boardgame.freshdesk.com
54,Gacha Life,Lunime,休闲,4.8,"123,661","1,000,000",2018年11月21日,100,1.0.4,air.com.lunime.gachalife,http://Lunime.com,Lunimegames@gmail.com
55,Slope Run,Onepear,竞速,3.9,728,"100,000",2018年12月11日,34,1.0.6,com.abcgame.sloperun,,zhouyitian1990@gmail.com
56,Granny,DVloper,街机,4.5,"1,834,233","50,000,000",2018年12月11日,27,1.6,com.dvloper.granny,,dvloper.apps@gmail.com
57,Love Balls,Lion Studios,益智,4.2,"521,474","100,000,000",2018年12月5日,49,1.3.9,com.supertapx.lovedots,https://lionstudios.cc/,supertapx@lionstudios.cc
58,Merge Dragons!,Gram Games Limited,益智,4.5,"306,309","10,000,000",2018年12月5日,99,3.14.2,com.gramgames.mergedragons,http://gram.gs,support@gram.gs
59,紙牌接龍,Solitaire Fun,卡牌,4.9,"65,766","1,000,000",2018年7月24日,22,2.9.482,com.cardgame.solitaire.fishdom,,support@solitairegames.freshdesk.com
60,Infinite Word Search Puzzles,"Random Logic Games, LLC",文字,4.3,"28,798","5,000,000",2018年11月28日,因设备而异,因设备而异,com.randomlogicgames.wordsearch,http://randomlogicgames.com,support@randomlogicgames.com
61,银河袭击：独立行动,ONESOFT,街机,4.6,"791,920","50,000,000",2018年12月10日,57,6.23,com.alien.shooter.galaxy.attack,,venus88.studio@gmail.com
62,Bowmasters,Miniclip.com,动作,4.7,"2,182,036","50,000,000",2018年7月23日,因设备而异,2.12.5,com.miniclip.bowmasters,http://www.miniclip.com/,support@miniclip.com
63,Choices: Stories You Play,Pixelberry,模拟,4.6,"928,356","10,000,000",2018年12月6日,81,2.4.0,com.pixelberrystudios.choices,http://www.pixelberrystudios.com/,googleplay@pixelberrystudios.com
64,糖果好友传奇,King,休闲,4.7,"661,219","10,000,000",2018年12月11日,83,1.3.5,com.king.candycrush4,http://about.king.com/,googleplay@king.com
65,Slices,Good Job Games,街机,4.2,"51,844","5,000,000",2018年11月2日,63,2.1.7,com.mnightt.slices,https://www.goodjobgames.com,contact@goodjobgames.com
66,烹饪发烧友-风靡全球的模拟烹饪游戏,Nordcurrent,街机,4.5,"3,439,375","100,000,000",2018年12月4日,89,3.0.0,com.nordcurrent.canteenhd,http://www.nordcurrent.com,support@nordcurrent.com
67,Color Switch,Color Switch Phoenix LLC,街机,4.4,"117,568","10,000,000",2018年12月10日,39,1.41,com.colorswitch.switch2,http://www.colorswitch.co,support@colorswitch.co
68,Toca Life: World,Toca Boca,教育,4.4,"35,469","1,000,000",2018年11月30日,25,1.2.1,com.tocaboca.tocalifeworld,http://www.tocaboca.com,support@tocaboca.com
69,奔跑吧，香肠！,Crazy Labs by TabTale,街机,4.3,"315,042","10,000,000",2018年12月11日,因设备而异,因设备而异,com.crazylabs.sausage.run,https://www.tabtale.com,WeCare@TabTale.com
70,部落冲突:皇室战争(Clash Royale),Supercell,策略,4.6,"24,588,854","100,000,000",2018年12月5日,94,2.5.0,com.supercell.clashroyale,http://supercell.helpshift.com/a/clash-royale/,gp-info@supercell.com
71,采矿大亨：掘金之旅 (Idle Miner Tycoon),Kolibri Games,模拟,4.8,"1,442,191","10,000,000",2018年12月6日,99,2.26.0,com.fluffyfairygames.idleminertycoon,http://www.idleminertycoon.com/,community@idleminertycoon.com
72,InstLife,InstCoffee Games,模拟,4.6,"28,428","1,000,000",2018年12月5日,16,1.1.13,com.instcoffee.instlife,https://inst.coffee,instlife@inst.coffee
73,Bouncemasters!,Playgendary,街机,4.2,"143,590","10,000,000",2018年12月7日,70,1.1.3,com.playgendary.sportmasters,http://www.playgendary.com/,support@playgendary.com
74,Falling Ball,Magic Ice,竞速,3.9,"7,436","1,000,000",2018年12月9日,34,1.1.3,com.abcgame.fallingball,,magicicebrick@gmail.com
75,Pokémon GO,"Niantic, Inc.",冒险,4.1,"11,217,267","100,000,000",2018年12月11日,95,0.131.1,com.nianticlabs.pokemongo,http://pokemongo.nianticlabs.com,pokemon-go-support@nianticlabs.com
76,块工艺 (Block Craft 3D) 免费的造城模拟器游戏,Fun Games For Free,模拟,4.5,"1,154,665","50,000,000",2018年12月7日,56,2.10.12,com.fungames.blockcraft,https://www.fungames-forfree.com/games/blockcraft,support+blockcraftandroid@fungames-forfree.com
77,几何冲刺精简版 (Geometry Dash Lite),RobTop Games,街机,4.5,"6,304,453","100,000,000",2017年12月22日,58,2.2,com.robtopx.geometryjumplite,http://www.robtopgames.com,support@robtopgames.com
78,我的安吉拉 (My Talking Angela),Outfit7 Limited,休闲,4.5,"10,395,604","100,000,000",2018年11月29日,因设备而异,4.0.1.235,com.outfit7.mytalkingangelafree,http://outfit7.com/contact/android/,support@outfit7.com
79,Rolling Balls,Simplefreegames,竞速,3.8,"6,571","1,000,000",2018年12月10日,32,1.1.5,com.gamepig.rush,,dyuanbo1151@gmail.com
80,Hooked Inc: Fisher Tycoon,Lion Studios,模拟,4.7,"369,204","5,000,000",2018年12月8日,37,1.6.4,se.ace.fishinc,http://www.lionstudios.cc,acedev@lionstudios.cc
81,Star Trek? Fleet Command,Scopely,策略,4.3,"39,388","1,000,000",2018年11月28日,110,0.543.8403,com.scopely.startrek,http://www.scopely.com,startrek-support@scopely.io
82,Angry Birds 2,Rovio Entertainment Corporation,休闲,4.6,"4,148,328","100,000,000",2018年12月6日,60,2.24.1,com.rovio.baba,https://www.rovio.com,support@rovio.com
83,糖果传奇,King,休闲,4.4,"23,881,043","500,000,000",2018年12月10日,81,1.140.0.5,com.king.candycrushsaga,http://candycrushsaga.com/help/,candycrush.techhelp@king.com
84,Big Big Baller,Lion Studios,街机,4.2,"40,767","10,000,000",2018年11月26日,74,1.1.7,com.supertapx.bigbigballer,http://lionstudios.cc,supertapx@lionstudios.cc
85,疯狂动物园-极速跑酷新旅程,Yodo1 Games,休闲,4.5,"670,758","10,000,000",2018年12月5日,98,1.21.0,com.yodo1.rodeo.safari,http://www.yodo1games.com,gpsupport@yodo1.com
86,Beetles.io,X Games Tube,街机,4.0,"18,012","1,000,000",2018年11月12日,28,1.1.5,bumperbattle.io.game,,ztdiymobile@gmail.com
87,Episode - Choose Your Story,Episode Interactive,模拟,4.4,"2,100,102","50,000,000",2018年12月3日,因设备而异,因设备而异,com.episodeinteractive.android.catalog,https://pocketgems.com/episode/,episode.support@pocketgems.zendesk.com
88,Golf Battle,Miniclip.com,体育,4.4,"111,389","10,000,000",2018年12月4日,35,1.1.3,games.onebutton.golfbattle,http://www.miniclip.com/,support@miniclip.com
89,梦想家居：装饰我的小家,Zentertain,休闲,4.6,"396,647","10,000,000",2018年12月8日,91,1.0.63,com.spacegame.homedesign,http://www.zentertain.net,myhome@zentertain.net
90,砖块消消消,Cheetah Games,休闲,4.4,"196,936","10,000,000",2018年12月11日,因设备而异,1.2.3.003,com.cmplay.bricksnballs,,funtimeplaycm@gmail.com
91,Temple Run 2,Imangi Studios,动作,4.3,"8,461,629","500,000,000",2018年12月3日,75,1.52.3,com.imangi.templerun2,http://www.imangistudios.com/contact.html,support-android@imangistudios.com
92,Paint By Number - Free Coloring Book & Puzzle Game,"Easy Learning, Coloring your Life - EZ Joy,Inc",休闲,4.6,"50,742","1,000,000",2018年12月7日,6.9,1.2.0,paint.by.number.pixel.art.coloring.drawing.puzzle,,support@dailyinnovation.biz
93,My Story: Choose Your Own Path,Nanobit Games,模拟,4.4,"466,573","1,000,000",2018年11月30日,89,4.1.1,org.nanobit.mystory,http://www.nanobit.co,support@nanobitsoftware.com
94,街头赛车,Ivy,竞速,4.4,"563,710","50,000,000",2018年12月7日,75,1.9.8,com.combineinc.streetracing.driftthreeD,,help@ivymobile.com
95,Flow Free,Big Duck Games LLC,益智,4.3,"1,318,543","100,000,000",2018年10月26日,11,4.1,com.bigduckgames.flow,http://www.bigduckgames.com,android@bigduckgames.com
96,部落冲突 (Clash of Clans),Supercell,策略,4.6,"47,289,510","500,000,000",2018年12月11日,96,11.185.10,com.supercell.clashofclans,http://supercell.helpshift.com/a/clash-of-clans/,gp-info@supercell.com
97,Baseball Boy!,VOODOO,街机,3.5,"183,197","10,000,000",2018年11月26日,81,1.8.5,com.itchmedia.ta3,http://www.voodoo.io,support@voodoo.io
98,空军中队 - 弹幕射击 - 星際大戰,ONESOFT,街机,4.6,"95,649","10,000,000",2018年12月11日,因设备而异,因设备而异,invaders.os.galaxy.space.shooter.attack.classic,http://onesoft.com.vn,summerquinnq@gmail.com
99,Bid Wars - Storage Auctions and Pawn Shop Tycoon,Tapps Games,策略,4.5,"1,902,514","10,000,000",2018年12月5日,93,2.12.4,br.com.tapps.bidwars,http://tappsgames.com,user.support+bidwars@tappsgames.com
100,Cut the Rope FULL FREE,ZeptoLab,益智,4.4,"2,222,154","100,000,000",2018年12月4日,64,3.10.1,com.zeptolab.ctr.ads,http://zeptolab.com,support@zeptolab.com
101,滚动的天空,Cheetah Games,桌面和棋类,4.5,"1,192,634","100,000,000",2018年12月4日,因设备而异,因设备而异,com.turbochilli.rollingsky,http://www.cmcm.com/,rollingskyfeedback@163.com
102,崛起之戰,Mobile War LLC,策略,4.2,"21,681","1,000,000",2018年11月21日,因设备而异,3.33.3.33,com.mobilewaronline.wwr,http://mobilewar-online.com,support@mobilewar-online.com
103,Creative Destruction,ZuoMasterDeveloper,动作,4.4,"612,568","10,000,000",2018年12月6日,83,1.0.691,com.titan.cd.gb,http://www.creative-destruction.com,support@creative-destruction.com
104,Design Home,Crowdstar Inc,模拟,4.4,"580,959","10,000,000",2018年12月10日,70,1.20.02,com.crowdstar.covetHome,http://www.covetfashion.com/,designhelp@crowdstar.com
105,Trivia Crack 2,Etermax,知识问答,4.2,"42,683","1,000,000",2018年12月6日,84,1.7.4,com.etermax.trivia.preguntados2,http://www.etermax.com,support@etermax.com
106,Soccer Kick,VOODOO,街机,3.6,"57,933","5,000,000",2018年11月15日,53,1.7.2,com.neonplay.casualsoccerkickandroid,,support@voodoo.io
107,Dumb Ways to Die Original,Metro Trains,休闲,4.4,"397,762","10,000,000",2018年12月4日,因设备而异,因设备而异,com.popreach.dumbways,http://metrotrains.com.au/,dwtd@metrotrains.com.au
108,KUBOOM,ip nobodyshot,动作,4.4,"169,951","10,000,000",2018年11月29日,52,1.86,com.Nobodyshot.kuboom,http://nobodyshot.ru,kuboom@nobodyshot.com
109,Mafia City,YottaGames,策略,4.4,"301,457","10,000,000",2018年12月7日,60,1.3.365,com.yottagames.mafiawar,,mafia@yottagames.com
110,Pixel Art: 按编号上色的着色书,Easybrain,益智,4.7,"1,311,415","50,000,000",2018年12月7日,30,4.2.0,com.europosit.pixelcoloring,http://www.easybrain.com,support@easybrain.com
111,Sonic Dash,SEGA,街机,4.5,"3,939,003","100,000,000",2018年12月6日,91,4.0.0.Go,com.sega.sonicdash,https://help.sega.net/,help@sega.net
112,Link It Rich! Hot Vegas Casino Slots FREE,Mofun Slots Game,赌场,4.7,"3,350","100,000",2018年12月8日,76,1.0.6,com.mofunslots.richescasino,,mofunslots@gmail.com
113,Twisty Road！,VOODOO,街机,4.0,"84,388","10,000,000",2018年11月30日,41,1.9.9,com.PupInteractive.TwistyRoad,http://pupinteractive.com,support@pupinteractive.com
114,我的汤姆猫 (My Talking Tom),Outfit7 Limited,休闲,4.5,"15,375,710","500,000,000",2018年12月7日,因设备而异,5.0.6.273,com.outfit7.mytalkingtomfree,http://outfit7.com/contact/android/,support@outfit7.com
115,新YAHTZEE? With Buddies,Scopely,桌面和棋类,4.2,"66,479","5,000,000",2018年12月11日,81,6.0.0,com.scopely.yux,http://www.scopely.com,newyahtzeesupport@scopely.com
116,Wind Rider!,VOODOO,街机,3.3,"3,924","500,000",2018年12月6日,44,1.12.0,io.voodoo.windrider,http://voodoo.io,support@voodoo.io
117,Amazing Fishing,Machbird Studio,休闲,4.2,"1,484","500,000",2018年12月12日,26,2.3.3,com.machsystem.gawii,,gavinchen7179@gmail.com
118,疯狂育婴房—婴儿护理,TabTale,角色扮演,4.1,"16,320","1,000,000",2018年10月9日,45,1.0.5,com.tabtale.crazynursery,https://www.tabtale.com/,WeCare@TabTale.com
119,Quizdom – Trivia more than logo quiz!,FreePuzzleGames,知识问答,4.5,"12,526","500,000",2018年12月4日,54,1.2.2,com.freepuzzlegames.logoguessing.quiz,,game.logo.word.guessing.puzzle@gmail.com
120,Board Kings??,Jelly Button Games,休闲,4.6,"167,160","5,000,000",2018年12月9日,57,2.20.0,com.jellybtn.boardkings,http://www.jellybtn.com,support@boardkingsgame.com
121,儿童医生：牙医,Games from YovoGames !,角色扮演,4.2,"23,307","10,000,000",2018年9月12日,21,1.1.2,com.YovoGames.dentist,http://www.yovogames.com,yovogames@gmail.com
122,Madden NFL Overdrive Football,ELECTRONIC ARTS,体育,4.4,"1,517,111","10,000,000",2018年12月11日,因设备而异,5.2.1,com.ea.game.maddenmobile15_row,http://help.ea.com/en/madden/madden-nfl-mobile/,help@eamobile.com
123,Hide Online - Hunters vs Props,HitRock Games,动作,4.5,"314,272","10,000,000",2018年12月10日,因设备而异,3.3.0,com.hitrock.hideonline,,contact@hitrockgames.com
124,NBA LIVE Mobile Basketball,ELECTRONIC ARTS,体育,4.4,"1,841,456","50,000,000",2018年12月3日,84,3.2.00,com.ea.gp.nbamobile,http://www.ea.com/android,help@eamobile.com
125,PAC-MAN,BANDAI NAMCO Entertainment America Inc.,街机,4.2,"736,617","100,000,000",2018年11月16日,44,7.0.6,com.namcobandaigames.pacmantournaments,http://www.bandainamcogames.com,PM_Support@bandainamcoent.com
126,Temple Run,Imangi Studios,街机,4.3,"4,113,046","100,000,000",2018年11月19日,43,1.9.5,com.imangi.templerun,http://www.imangistudios.com/contact.html,support-android@imangistudios.com
127,Bumper.io,VOODOO,街机,3.7,"42,430","5,000,000",2018年11月20日,39,1.3.1,com.honikougames.royale.io,http://www.voodoo.io,support@voodoo.io
128,刺客信条：燎原 – Assassin’s Creed Rebellion,Ubisoft Entertainment,角色扮演,4.6,"189,300","1,000,000",2018年12月3日,28,2.0.2,com.ubisoft.accovenant,https://www.ubisoft.com/en-gb/game/assassins-creed-rebellion/,android.support@ubisoft.com
129,Wheel of Fortune: Free Play,Scopely,文字,4.5,"246,123","10,000,000",2018年11月28日,77,3.37,com.scopely.wheeloffortune,http://www.scopely.com,wofsupport@scopely.com
130,大富豪赌场-免费经典老虎机游戏,22H Games,赌场,4.9,"28,750","100,000",2018年12月6日,46,1.1.18,com.tw.tycoon.casino,,22games@gmail.com
131,Find The Differences - Her Secret,10P STUDIO,益智,4.6,"8,424","1,000,000",2018年12月8日,68,1.1.7,com.puzzles.game.fd.two,,believe-her@boooea.com
132,特技跳躍：翻筋鬥,TapFunStudio,模拟,4.2,"8,032","500,000",2018年12月7日,58,1.22,com.jump.parkour.flip.master,,geteenie@gmail.com
133,Solitaire,Mouse Games,卡牌,4.8,"37,820","1,000,000",2018年10月31日,6.1,2.5,com.smilerlee.klondike,http://mouse-games.com,contact@mouse-games.com
134,Perfect Hit . . .,VOODOO,街机,4.1,"22,060","5,000,000",2018年11月16日,47,1.1.3,sk.phx.skeeball,,support@voodoo.io
135,麥琪頓莊園,Firecraft Studios,益智,4.6,"590,482","10,000,000",2018年12月12日,37,1.31.1,com.matchington.mansion,http://www.firecraftstudios.com/,contact@firecraftstudios.com
136,PLANK!,Kwalee Ltd,街机,4.6,"30,962","1,000,000",2018年10月22日,46,1.0.7,com.kwalee.plankgp,http://www.kwalee.com,info@kwalee.com
137,One Line - Curve Drawing,BitMango,益智,4.5,"6,155","1,000,000",2018年12月10日,因设备而异,1.1.10,com.bitmango.go.onelinecurvedrawing,https://www.facebook.com/bitmangogames,help@bitmango.com
138,Words With Friends 2 - Word Game,Zynga,文字,4.5,"190,080","5,000,000",2018年12月12日,76,11.901,com.zynga.words3,http://www.zynga.com,android.support@zynga.com
139,伍迪拼图游戏 (Woody Puzzle?): 实时多人联网活动,Free Block Puzzle Games Inc.,益智,4.7,"57,821","1,000,000",2018年12月2日,40,1.1.5,game.puzzle.woodypuzzle,http://fbpgames.com,freeblockpuzzlegamesinc@gmail.com
140,猎鹿人2018,Glu,动作,4.3,"975,981","10,000,000",2018年11月13日,82,5.1.5,com.glu.deerhunt16,http://www.glu.com/,androidsupport@glu.com
141,Faily Brakes,Spunge Games Pty Ltd,街机,4.3,"124,437","10,000,000",2018年7月17日,89,8.2,com.spungegames.failybrakes,http://www.spungegames.com,mark@spungegames.com
142,Emoji Quiz. Combine & Guess the Emoji!,Mari Apps,知识问答,4.1,"14,596","1,000,000",2018年12月7日,15,2.1.2,com.taplane.emojisquiz,http://games.taplane.com/,contact@taplane.com
143,Free Fire - 我要活下去「冬季狂歡慶」,GARENA INTERNATIONAL I PRIVATE LIMITED,动作,4.6,"13,934,577","100,000,000",2018年12月5日,64,1.25.3,com.dts.freefireth,https://ff.garena.com,freefire@garena.com
144,泡沫射手,Happy Dragon Inc.,休闲,4.5,"270,941","10,000,000",2018年10月10日,36,78.0,game.bubble.shooter.dragon.pop,,rom0914zn@gmail.com
145,多米诺骨牌,Loop Games,桌面和棋类,4.8,"91,448","5,000,000",2018年11月27日,因设备而异,因设备而异,com.LoopGames.Domino,https://loop.games/,loopgamesinc@gmail.com
146,Toca Kitchen 2,Toca Boca,教育,4.5,"1,087,821","50,000,000",2017年6月29日,56,1.2.3-play,com.tocaboca.tocakitchen2,http://www.tocaboca.com,support@tocaboca.com
147,The Sims?模擬市民手機版,ELECTRONIC ARTS,模拟,4.5,"735,192","10,000,000",2018年12月11日,90,12.3.0.208251,com.ea.gp.simsmobile,http://www.ea.com/android,help@eamobile.com
148,气垫球 挑战,mobirix,体育,4.4,"64,898","10,000,000",2018年8月21日,18,1.0.6,com.mobirix.airhockey,https://www.facebook.com/mobirixplayen,help@mobirix.com
149,?64 games - Super Adam Adventure&Jungle Adventure,Super 64 Games,街机,4.6,"2,628","100,000",2018年12月7日,19,1.1.20,com.game64.superadventure,,tiptop.hao@gmail.com
150,Mini Golf King - 多人游戏,Bluehole PNIX,体育,4.5,"590,242","10,000,000",2018年12月4日,99,3.10,com.pnixgames.minigolfking,http://www.pnixgames.com,support@minigolfking.zendesk.com
151,UNO!?,Mattel163 Limited,卡牌,4.3,"53,990","1,000,000",2018年11月12日,97,1.2.6145,com.matteljv.uno,http://www.letsplayuno.com/,uno@mattel163.com
