排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
11,王国纪元 (Lords Mobile),IGG.COM,策略,4.4,"3,670,097","100,000,000",2018年11月29日,因设备而异,1.85,com.igg.android.lordsmobile,http://www.igg.com,help.lordsmobile.android@igg.com
12,House of Fun?? - Free Casino Slots,PLAYTIKA UK - HOUSE OF FUN LIMITED,赌场,4.6,"992,432","10,000,000",2018年12月4日,因设备而异,3.20,com.pacificinteractive.HouseOfFun,http://www.houseoffun.com,Android@playtika.com
13,火器時代 (Guns of Glory),DIANDIAN INTERACTIVE HOLDING,策略,4.0,"158,843","10,000,000",2018年12月12日,92,2.5.0,com.diandian.gog,https://funplus.aihelp.net/elva/FAQ/FAQList.aspx?pf_app_id=996,contact_gog@funplus.com
14,PUBG MOBILE,Tencent Games,动作,4.5,"8,473,541","100,000,000",2018年10月25日,39,0.9.0,com.tencent.ig,http://www.pubgmobile.com,PUBGMOBILE_CS@tencentgames.com
15,Jackpot Party Casino Slots: 老虎机 - 角子机游戏,Scientific Games Interactive,赌场,4.5,"661,711","10,000,000",2018年12月3日,79,5005.03,com.williamsinteractive.jackpotparty,http://www.jackpotparty.com,support@jackpotpartycasino.zendesk.com
16,梦幻花园 (Gardenscapes),Playrix Games,休闲,4.6,"4,625,469","50,000,000",2018年11月29日,因设备而异,3.0.2,com.playrix.gardenscapes,https://www.playrix.com/gardenscapes/index.html,gardenscapes@playrix.com
17,最终幻想15：新帝国 《Final Fantasy XV: A New Empire》,Epic Action LLC,策略,4.0,"513,100","10,000,000",2018年12月10日,因设备而异,3.33.3.96,com.epicactiononline.ffxv.ane,http://www.epicaction-online.com,support@epicaction-online.com
18,Bingo Blitz?? Free BINGO & SLOTS - 賓果 老虎机,Playtika Santa Monica,赌场,4.4,"494,491","10,000,000",2018年11月28日,因设备而异,4.02.0,air.com.buffalo_studios.newflashbingo,http://www.playtika.com/#game/bingo-blitz,contact-SMO@playtika.com
19,梦幻家园 (Homescapes),Playrix Games,休闲,4.6,"3,714,676","50,000,000",2018年11月29日,因设备而异,2.2.0.900,com.playrix.homescapes,https://www.playrix.com/homescapes/index.html,homescapes@playrix.com
20,POP! Slots – 老虎机免费赌场,PlayStudios,赌场,4.6,"145,794","5,000,000",2018年12月6日,因设备而异,因设备而异,com.playstudios.popslots,http://www.popslotscasino.com/,community@popslotscasino.com
21,金币大师,Moon Active,休闲,4.5,"927,032","10,000,000",2018年11月20日,因设备而异,因设备而异,com.moonactive.coinmaster,http://moonactive.zendesk.com,support@coinmastergame.com
22,Design Home,Crowdstar Inc,模拟,4.4,"580,968","10,000,000",2018年12月10日,70,1.20.02,com.crowdstar.covetHome,http://www.covetfashion.com/,designhelp@crowdstar.com
23,梦想小镇 (Township),Playrix Games,休闲,4.6,"4,769,496","50,000,000",2018年12月6日,因设备而异,6.3.0,com.playrix.township,https://www.playrix.com/township/index.html,support@playrix.com
24,糖果好友传奇,King,休闲,4.7,"661,330","10,000,000",2018年12月11日,83,1.3.5,com.king.candycrush4,http://about.king.com/,googleplay@king.com
25,阿瓦隆之王：龍之戰役(KOA),DIANDIAN INTERACTIVE HOLDING,策略,4.2,"332,510","10,000,000",2018年12月12日,75,5.1.0,com.funplus.kingofavalon,https://funplus.helpshift.com/a/king-of-avalon/,contact_koa@funplus.com
26,ROBLOX,Roblox Corporation,冒险,4.6,"6,032,205","100,000,000",2018年12月10日,76,2.365.265265,com.roblox.client,http://www.roblox.com,info@roblox.com
27,Toy Blast,Peak Games,益智,4.7,"2,150,043","50,000,000",2018年12月10日,因设备而异,5686,net.peakgames.amy,http://www.peakgames.net,android@peakgames.net
28,Huuuge娱乐城? 拉霸角子老虎机游戏，全球1000万玩家，最受欢迎的拉斯维加斯Slots赌场游戏,Huuuge Global,赌场,4.6,"539,994","10,000,000",2018年12月12日,83,3.7.1181,com.huuuge.casino.slots,http://www.huuugegames.com/,support@huuugegames.com
29,MARVEL 神威战队,FoxNext Games,动作,4.3,"227,543","10,000,000",2018年12月10日,104,2.2.0,com.foxnextgames.m3,https://www.marvelstrikeforce.com/,foxnextgames.support@fox.com
30,漫威: 超级争霸战,"Kabam Games, Inc.",动作,4.3,"2,593,123","50,000,000",2018年12月3日,91,21.1.0,com.kabam.marvelbattle,http://www.playcontestofchampions.com,contact@kabam.com
31,Merge Dragons!,Gram Games Limited,益智,4.5,"306,410","10,000,000",2018年12月12日,99,3.14.2,com.gramgames.mergedragons,http://gram.gs,support@gram.gs
32,梦幻水族箱 (Fishdom),Playrix Games,益智,4.6,"2,473,169","50,000,000",2018年12月6日,因设备而异,2.25.1,com.playrix.fishdomdd.gplay,https://www.playrix.com/fishdom/index.html,support@playrix.com
33,Cashman Casino: Online Casino Slots - 免费网上赌场老虎机游戏,Product Madness,赌场,4.6,"240,033","5,000,000",2018年12月11日,75,2.9.50,com.productmadness.cashmancasino,http://www.productmadness.com,csmandroidsupport@productmadness.com
34,DoubleDown Casino - Free Slots,Double Down Interactive LLC,赌场,4.2,"351,051","10,000,000",2018年12月11日,因设备而异,4.8.17,com.ddi,https://www.facebook.com/doubledowncasino,support@doubledowncasino.com
35,Army Men Strike,FightClub,策略,4.4,"404,420","10,000,000",2018年12月11日,95,2.78.1,com.hts.ams,http://www.fightclubgames.net,developer@fightclubgames.net
36,Game of Thrones: Conquest?,Warner Bros. International Enterprises,策略,4.1,"121,380","5,000,000",2018年12月10日,93,1.12.232025,com.wb.goog.got.conquest,https://hbogamessupport.wbgames.com/hc/en-us/requests/new,support@wbgames.com
37,魔灵召唤: 天空之役,Com2uS,角色扮演,4.3,"2,092,180","50,000,000",2018年12月4日,31,4.1.5,com.com2us.smon.normal.freefull.google.kr.android.common,http://www.withhive.com,info@com2us.com
38,World Series of Poker – WSOP Free Texas Holdem,Playtika,卡牌,4.5,"989,405","10,000,000",2018年12月7日,81,5.20.0,com.playtika.wsop.gp,http://www.playtika.com,support@playwsop.com
39,DoubleU Casino - Free Slots,DoubleUGames,赌场,4.5,"495,416","10,000,000",2018年12月11日,91,5.42.0,com.doubleugames.DoubleUCasino,http://doubleucasino.com,support@doubleucasino.com
40,Last Shelter: Survival,IM30 TECHNOLOGY LIMITED,策略,4.6,"339,137","10,000,000",2018年12月12日,100,1.250.099,com.more.dayzsurvival.gp,http://www.im30.net,support_ls@im30.net
41,Heart of Vegas: Casino Slots - 拉斯 维加斯 - 老虎机游戏,Product Madness,赌场,4.5,"288,137","10,000,000",2018年12月10日,56,3.18.6,com.productmadness.hovmobile,http://www.productmadness.com,hovandroidsupport@productmadness.com
42,Solitaire TriPeaks,"GSN Games, Inc.",卡牌,4.5,"476,457","10,000,000",2018年12月11日,55,5.2.1.50412,com.gsn.android.tripeaks,https://solitairetripeaks.com/,solitairetripeakssupport@gsngames.com
43,DRAGON BALL Z -七龍珠爆裂激戰-,BANDAI NAMCO Entertainment Inc.,动作,4.1,"693,551","10,000,000",2018年10月17日,82,3.14.0,com.bandainamcogames.dbzdokkanww,https://bandainamcoent.co.jp/,ww_dragonballz_db_ad@net.bandai.co.jp
44,Star Trek? Fleet Command,Scopely,策略,4.3,"39,460","1,000,000",2018年11月28日,110,0.543.8403,com.scopely.startrek,http://www.scopely.com,startrek-support@scopely.io
45,Caesars Slots: Free Slot Machines and Casino Games,Playtika,赌场,4.4,"456,628","10,000,000",2018年12月11日,因设备而异,2.70.1,com.playtika.caesarscasino,http://www.playtika.com,android@playtika.com
46,Fate/Grand Order (English),Aniplex Inc.,角色扮演,4.4,"22,348","1,000,000",2018年11月21日,53,1.23.0,com.aniplex.fategrandorder.en,http://fate-go.us/,support@fate-go.us
47,文明覺醒,Lilith Games,策略,4.6,"227,804","5,000,000",2018年12月11日,48,1.0.12.22,com.lilithgame.roc.gp,,roc-service@lilithgames.com
48,Angry Birds 2,Rovio Entertainment Corporation,休闲,4.6,"4,148,502","100,000,000",2018年12月6日,60,2.24.1,com.rovio.baba,https://www.rovio.com,support@rovio.com
49,Big Fish大赌场——老虎机及维加斯游戏,Big Fish Games,赌场,4.4,"390,560","10,000,000",2018年10月24日,因设备而异,因设备而异,com.selfawaregames.acecasino,http://www.selfawaregames.com/faq,info@bigfishgames.com
50,Mafia City,YottaGames,策略,4.4,"301,535","10,000,000",2018年12月7日,60,1.3.365,com.yottagames.mafiawar,,mafia@yottagames.com
51,麥琪頓莊園,Firecraft Studios,益智,4.6,"590,519","10,000,000",2018年12月12日,37,1.31.1,com.matchington.mansion,http://www.firecraftstudios.com/,contact@firecraftstudios.com
52,Choices: Stories You Play,Pixelberry,模拟,4.6,"928,457","10,000,000",2018年12月6日,81,2.4.0,com.pixelberrystudios.choices,http://www.pixelberrystudios.com/,googleplay@pixelberrystudios.com
53,CSR Racing 2,NaturalMotionGames Ltd,竞速,4.7,"3,210,020","10,000,000",2018年12月5日,61,2.1.1,com.naturalmotion.customstreetracer2,http://www.naturalmotion.com,android.support@zynga.com
54,第七史詩,Smilegate Megaport,角色扮演,4.3,"76,636","1,000,000",2018年12月11日,88,1.0.73,com.stove.epic7.google,http://mobile.smilegatemegaport.com,Help_epic7@smilegate.com
55,列王的纷争-奇迹降临,Elex Wireless,策略,4.2,"2,260,179","50,000,000",2018年12月12日,98,4.13.0,com.hcg.cok.gp,http://cok.elex.com/en/,cok@elex.com
56,呆萌小怪物（Best Fiends）- 免费益智游戏,Seriously Digital Entertainment Ltd.,休闲,4.7,"1,574,887","10,000,000",2018年12月7日,因设备而异,6.3.1,com.Seriously.BestFiends,http://seriously.com,support@seriously.com
57,Hustle Castle – 幻想王国,My.com B.V.,角色扮演,4.7,"857,188","10,000,000",2018年12月7日,68,1.8.0,com.my.hc.rpg.kingdom.simulator,http://hc.my.com,hustle-castle@corp.my.com
58,新YAHTZEE? With Buddies,Scopely,桌面和棋类,4.2,"66,501","5,000,000",2018年12月11日,81,6.0.0,com.scopely.yux,http://www.scopely.com,newyahtzeesupport@scopely.com
59,亿万富翁娱乐城? 角子老虎机赌场游戏 free slots machine casino game,Huuuge Global,赌场,4.5,"112,775","5,000,000",2018年12月10日,83,3.7.1180,com.huuuge.casino.texas,http://www.huuugegames.com/,support@huuugegames.com
60,Legendary : Game of Heroes,N3TWORK Inc.,角色扮演,4.4,"122,841","5,000,000",2018年12月11日,95,2.5.5,com.n3twork.legendary,http://www.n3twork.com,support@n3twork.com
