排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
16,Fast & Furious Takedown,Universal Studios Interactive Entertainment LLC,竞速,4.1,"3,437","500,000",2018年12月5日,49,1.1.51,com.nbcuni.usie.fftakedown,https://nbcuniversal.helpshift.com/a/fast-furious-takedown/,support@nbcuniversal.mail.helpshift.com
17,Christmas Hidden Object: Xmas Tree Magic,Beautiful Hidden Objects Games by Difference Games,休闲,4.7,"1,672","50,000",2018年11月27日,72,1.0.62,com.dg.differencegames.u.hiddenobject.xmastreemagic,http://differencegames.com,hiddenobject@differencegames.com
18,欢乐餐厅2,Top Girl Games,模拟,4.7,"6,688","100,000",2018年12月7日,49,1.0.5,com.zenjoy.cookingstreet,http://www.zentertain.net,zentertain.ltd@gmail.com
19,Resort Hotel: Bay Story,WhaleApp LTD,益智,4.7,"2,818","500,000",2018年12月3日,因设备而异,1.2.0,com.whaleapp.resorthotel,http://www.whaleapp.com,support.resorthotel@whaleapp.com
20,Crayola Create and Play,Crayola LLC,教育,3.3,180,"10,000",2018年11月21日,85,1.4,com.crayolallc.crayola_create_and_play,http://www.crayola.com/app,support@crayola.com
21,Angry Birds Dream Blast,Rovio Entertainment Corporation,益智,4.2,816,"100,000",2018年12月3日,68,1.3.1,com.rovio.dream,https://www.rovio.com,support@rovio.com
22,Criminal Minds: The Mobile Game,FTX Games LTD,益智,4.5,"18,081","100,000",2018年12月4日,58,1.49,com.ftxgames.cmdd,http://www.ftxgames.com,criminalminds@ftxgames.com
23,Flippy Race,Ketchapp,街机,4.1,381,"100,000",2018年11月27日,44,1.0,com.ketchapp.flippyrace,http://www.ketchappgames.com,support@ketchappgames.com
24,Tsuki 月兔冒险,HyperBeard,冒险,4.7,"11,244","100,000",2018年12月7日,83,1.1.11,com.hyperbeard.tsuki,https://tsukiadventure.com/,tsuki@hyperbeard.com
25,雪球大作战,"Geisha Tokyo, Inc.",动作,4.8,411,"10,000",2018年12月12日,42,1.2.4,com.geishatokyo.snowballio,http://www.geishatokyo.com/,hc+snowballio@geishatokyo.com
26,Spider Go: Solitaire Card Game,MobilityWare,卡牌,4.5,226,"10,000",2018年12月3日,64,1.0.0.258,com.mobilityware.SpiderGo,http://www.mobilityware.com,Support@mobilityware.com
27,Underworld : The Shelter,Dreamplay Games,动作,4.3,"3,976","100,000",2018年12月7日,65,1.4.9,com.dreamplay.underworld.google,https://www.facebook.com/DreamplayIndieZone/,help@dreamplaygames.co.kr
28,SEGA Heroes,SEGA,角色扮演,4.5,"15,169","100,000",2018年12月4日,99,47.150048,com.sega.puzzlerpg,http://www.sega.com,googleplay@segaofamerica.zendesk.com
29,GrandChase,"KOG Co., Ltd",角色扮演,4.7,"61,723","1,000,000",2018年12月11日,60,1.10.24,com.kog.grandchaseglobal,https://www.grandchase.net/,grandchase_official@kog.oqupie.com
30,命運之子,LINE Games,角色扮演,4.7,"18,813","100,000",2018年12月6日,50,1.0.2,com.linegames.dcglobal,https://line.games/,game_service@linegames.kr
31,「烹饪吧！」模拟经营美食餐厅游戏,Flowmotion Entertainment - Cooking and Girl Games,休闲,4.7,"5,119","100,000",2018年12月5日,85,1.0.7,com.fme.cookit,https://www.facebook.com/Flowmotionentertainment,support@flowmotionentertainment.com
32,Galaxy sky shooting,Ivy,街机,4.5,317,"100,000",2018年12月11日,37,1.2.3,com.ivy.galaxyshooting.sky,,help@ivymobile.com
33,Bubble Pop! Shoot Bubbles,BitMango,益智,4.5,"1,363","100,000",2018年12月12日,24,1.1.2,com.bitmango.go.bubblepop,https://www.facebook.com/bitmangogames,help@bitmango.com
34,Fun Match? - match 3 games,Big Cake Group Limited,休闲,4.7,183,"10,000",2018年12月6日,69,18.0.0,com.bigcake.android.funmatch,http://www.bigcakegame.com/,android.joypiece@gmail.com
35,超級駕駛模擬器,Words Mobile,竞速,4.3,"1,639","100,000",2018年11月29日,25,1.1,com.cargame.fanaticalcar,http://www.words-mobile.com,contact@words-mobile.com
36,Novoland:The Castle In The Sky,ZLOONG,角色扮演,4.3,"2,374","100,000",2018年11月27日,51,1.2.2,com.zloong.eu.jztkc,https://tos.zloong.com/,cs@zulong.com
37,冰激凌挑战——糖果和棒棒糖三消游戏,BELKA GAMES,益智,4.5,"1,314","100,000",2018年11月29日,70,0.5,com.belkatechnologies.icecreamchallenge,,icc-support@belkatechnologies.com
38,Basket Wall - Bounce Ball & Dunk Hoop,Crazy Labs by TabTale,街机,3.8,17,"5,000",2018年12月10日,52,1.0.3,com.crazylabs.basket.ball.wall,https://www.tabtale.com,WeCare@tabtale.com
39,Modern Critical Strike,Timuz Games,动作,4.4,259,"50,000",2018年12月6日,58,1.0,com.timuzgames.moderncriticalstrike,http://www.timuz.com,info@timuz.com
40,《陆战英雄》(Heroes of Warland) - PvP 射击竞技场,Nitro Games Oyj,动作,3.9,"2,742","100,000",2018年12月4日,38,1.0.2,com.nitrogames.howl,http://www.nitrogames.com,warland-support@nitrogames.com
41,无,无,无,无,无,无,无,无,无,com.vnlentertainment.coc,无,无
42,The Walking Dead: Free Casino Slots,FTX Games LTD,赌场,4.7,325,"10,000",2018年12月10日,54,152,com.ftxgames.twdslots,http://www.ftxgames.com,mgmt@ftxgames.com
43,Troll Face Quest: Stupidella and Failman,Spil Games,益智,4.5,"1,217","100,000",2018年11月21日,57,0.9.2,air.com.spilgames.TrollFaceQuestStupidellaAndFailman,http://spilgames.com,appsupport@spilgames.com
44,Hoop Smash,Kwalee Ltd,街机,4.6,"1,797","100,000",2018年11月28日,38,1.1.1,com.kwalee.hoopsmash,http://www.kwalee.com,info@kwalee.com
45,Jewels Forest : Match 3 Puzzle,PivotGames. Inc.,益智,4.8,788,"10,000",2018年12月11日,30,37,com.pivotgames.jewelmatch3.gp,http://www.pivotgames.net,pivotgameshelp@gmail.com
46,Santa Bingo - Xmas Magic,Beautiful Bingo Games by Difference Games LLC,桌面和棋类,4.8,388,"10,000",2018年12月1日,74,1.0.2,com.dg.turbonuke.bingo.quest.santa.xmas.magic,http://www.differencegames.com,bingo@differencegames.com
47,Sweety House,Dream Art Studio,休闲,4.4,68,"5,000",2018年12月12日,85,0.0.7,com.apollo.realhouse,,dreamart.gamestudion@outlook.com
48,Line Puzzle: Color String Art,BitMango,益智,4.3,744,"100,000",2018年12月12日,23,1.0.9,com.bitmango.go.linepuzzlecolorstringart,http://www.bitmango.com/,help@bitmango.com
49,Super Slime Ben,Cartoon Network,街机,4.5,154,"50,000",2018年12月5日,76,1.1,com.turner.benslime,http://www.cartoonnetwork.com,advanced.platforms@turner.com
50,Fun Ball Adventure,Apre soft,冒险,3.1,55,"10,000",2018年11月26日,21,1.1,com.bouncyball.adventuregame.jumping,,michaelpan1547@gmail.com
51,Jetpack VS. Colors,Crazy Labs by TabTale,街机,3.8,56,"10,000",2018年12月11日,39,1.1.2,com.crazylabs.jetpack.vs.colors,https://www.tabtale.com,WeCare@TabTale.com
52,Cosmic Showdown,DoubleJump,策略,4.3,735,"500,000",2018年12月11日,73,1.8.6,com.doublejump.heliumproject,http://doublejump.com,support@doublejump.com
53,欧陆战争6: 1804,EasyTech,策略,4.1,"4,644","100,000",2018年9月5日,97,1.2.0,com.easytech.android.ew6,http://www.ieasytech.com/,easytechmail@gmail.com
54,復仇：無限槍戰,JoyMeng GAME,动作,4.7,578,"10,000",2018年12月8日,95,1.8,com.hopelessfire.shootinggames,,zombiegunbattleinc@gmail.com
55,Transformers: 极速大黄蜂,Budge Studios,竞速,4.4,258,"10,000",2018年12月7日,18,1.4,com.budgestudios.googleplay.TransformersBumblebeeOverdrive,http://www.budgestudios.com,support@budgestudios.ca
56,宝宝日常安全,BabyBus Kids Games,教育,4.6,515,"100,000",2018年11月22日,73,8.29.00.00,com.sinyee.babybus.dailysafety,http://www.babybus.com,ser@babybus.com
57,Hannah’s Fashion World - Dress Up Salon for Girls,TutoTOONS,角色扮演,4.5,107,"10,000",2018年12月7日,48,1.0.15,com.tutotoons.app.hannahsfashionworld.free,https://www.tutotoons.com,support@tutotoons.com
58,Zgirls 3: Furies,Star Ring Game Limited,策略,4.2,"2,123","100,000",2018年12月11日,97,1.300.200,com.starring.zgirls4.gp,,xingjoystech@gmail.com
59,房地產：裝載機卡車交貨模擬器,Brilliant Gamez,模拟,4.2,180,"50,000",2018年11月29日,73,1.0,com.brilliantgamez.classic.cars.transport.truckdriver,http://www.brilliantgamez.com,brilliantgamez@gmail.com
60,Solitaire Ocean,Hit Mahjong Solitaire,卡牌,4.6,386,"10,000",2018年12月6日,29,1.2.144,solitaire.card.games.free.solitaire.big.fish.fishdom.ocean,,colormix2018@outlook.com
61,Chigiri: Paper Puzzle,WEEGOON,益智,4.4,"34,778","500,000",2018年12月8日,59,1.1.9,com.weegoon.chigirie,,weegoonstudio@gmail.com
62,Laser Break 2018,Omeg Studio,益智,3.3,44,"10,000",2018年12月3日,45,1.0.5,omega.mxl.zao,,omegaxstudio@hotmail.com
63,Holy Hunter - Terminate All Devils,Flog Game,角色扮演,4.7,879,"10,000",2018年12月4日,3.8,1.1,com.eskyfun.anheijiyuan.an,https://www.facebook.com/holyhunter.eskyfun/,ouye2018@gmail.com
64,宠物世界 —— 我的宠物医院 ——照料动物,Tivola,模拟,4.4,"1,161","100,000",2018年11月27日,18,1.0.2731,com.tivola.animalhospital.free,http://www.tivola.com,apps@tivola.de
65,Kitchen master : fastfood restaurant,LosSantos Studio,模拟,4.8,148,"1,000",2018年12月12日,67,1.0.5,com.lossantos.kitchen,,dinhqdai@icloud.com
66,奇妙森林历险记,BabyBus Kids Games,教育,4.8,134,"100,000",2018年12月6日,64,8.29.00.00,com.sinyee.babybus.expedition,http://www.babybus.com,ser@babybus.com
67,Looney Toons Dash,zak ibra,冒险,3.2,701,"50,000",2018年11月28日,28,1.0,com.looneysoudash.toonszak,,zakgamestudio@gmail.com
68,Xmas Match 3: Christmas Candy Land,Beautiful Match 3 Quest Games by Difference Games,益智,4.7,93,"1,000",2018年12月11日,57,1.0.2,com.dg.puzzlebrothers.match3.quest.candy.land.christmas,http://www.differencegames.com,match@differencegames.com
69,iPoly Art：天天乐拼图，有趣的数字涂色游戏,Shanghai Chuanmo Information Technology Limited,休闲,4.6,620,"100,000",2018年11月30日,15,1.1.0,com.chuanmo.poly,,polysupport@chuanmo.co
70,Hot Jackpot Casino：Free Slots,pocket games,赌场,4.8,581,"10,000",2018年11月20日,74,1.1.0,com.ipocket.hotslots,,taobaggio81@gmail.com
71,Rescue Animals: Tricky Puzzle & Think Outside,Top Puzzle Player,益智,4.4,103,"5,000",2018年12月11日,29,1.0.2,com.tricky.puzzle.rescue.animals.android,,dale7kol@gmail.com
72,阿斯嘉娱乐城,"Pacify service co.,ltd.",赌场,3.9,179,"10,000",2018年12月7日,29,1.013,com.AsgardCasino,https://www.asgard-casino.com,asgardcg10@gmail.com
73,Saiyan Prince: The Way of legend,Champamelon,街机,4.7,"3,114","100,000",2018年11月21日,39,1.0,com.champamelon.saiyanwayoflegend,,ziruchi2018@gmail.com
74,Racing Xtreme 2: Top Monster Truck & Offroad Fun,T-Bull,竞速,4.7,"34,239","1,000,000",2018年11月23日,因设备而异,因设备而异,com.tbegames.and.best_monster_racing,http://t-bull.com,thunderbullgames@gmail.com
75,Helix Shooter,Meloni Games,街机,3.5,167,"10,000",2018年12月6日,29,1.1,com.helix.shooter,,ugur92bey@gmail.com
76,Xmas Word Search: Christmas Cookies,Difference Games LLC,文字,4.7,202,"10,000",2018年12月3日,70,1.0.62,com.dg.differencegames.u.wordsearch.christmasquest,http://www.differencegames.com,adam@differencegames.com
77,Clay Hunt START,Shotgun Gaming Oy,体育,4.4,39,"10,000",2018年11月21日,81,1.0,com.shotgungaming.clayhuntstart,http://www.clayhuntpro.com,aleksi@shotgungaming.com
78,戰火世界,WoF Games,策略,4.4,558,"10,000",2018年12月5日,96,1.1.4,com.camelgames.wof,,wof.games.inc@gmail.com
79,Find Words–Moving Crossword Puzzle,ASTER Play,文字,4.8,532,"5,000",2018年12月11日,34,1.2.02,com.moving.crossword.puzzle.games,,wordgo.team@gmail.com
80,Bike Racing 2019,Timuz Games,竞速,4.3,151,"50,000",2018年12月7日,54,1.1,com.timuzgames.bikeracing2019,http://www.timuz.com,info@timuz.com
81,Plane Evolution,Casual Clean Studio,模拟,4.3,63,"10,000",2018年12月1日,19,7,mobi.army.game.mergeplane,,congacutequadimat@gmail.com
82,Food POP : New puzzle gravity world(food burst 2),ENP Games,益智,4.7,"1,469","50,000",2018年12月6日,36,1.0.14,com.enp.food2.google,http://www.enpgames.co.kr/,Global_apps@enpgames.co.kr
83,My Baby Unicorn - Virtual Pony Pet Care & Dress Up,TutoTOONS,教育,4.4,590,"100,000",2018年12月11日,53,4.0.9,com.tutotoons.app.mybabyunicorn.free,https://www.tutotoons.com,support@tutotoons.com
84,宝宝手工零食,BabyBus Kids Games,教育,4.6,405,"100,000",2018年11月29日,68,8.29.00.00,com.sinyee.babybus.snacks,http://www.babybus.com,ser@babybus.com
85,Crossing Cliff,Little Game,动作,3.9,17,"5,000",2018年11月29日,12,1.0.8,com.little.game.crossing.cliff,,edwardsoliverchristopher@gmail.com
86,Word Cute Games - Free Words Puzzle Games,"Saga Fun,Slots,Casino,Slot Machines,Bingo,Poker!",益智,4.5,114,"5,000",2018年12月3日,33,1.2,com.sagafun.wordgames,,support@sagafun.com
87,Color Ball,GreenPomeloGame,竞速,4.5,35,"5,000",2018年11月29日,32,1.0.0,com.colorgame.colorball,,GreenPomeloGame@gmail.com
88,功夫激战,Hs Soft,动作,4.3,177,"50,000",2018年12月11日,45,1.0.5.186,com.hssoft.KungFuAttack,,hssoft@gmail.com
89,Temple Castle Run,Little Game,策略,4.1,15,"1,000",2018年11月26日,38,1.0.1,com.little.game.temple.castle.run,,edwardsoliverchristopher@gmail.com
90,Drifty Car,Alex Dr,街机,3.2,21,"5,000",2018年12月7日,42,1.1.2,com.ty.driftycar,,alex@loudmind.co
91,Overlords of Oblivion,Neocraft Limited,角色扮演,4.4,"7,936","100,000",2018年11月30日,22,1.0.19,com.emagroups.ic,,developer@neocraftstudio.com
92,城市救援先鋒 (City Ambulance),Enjoysports,模拟,4.3,174,"10,000",2018年12月11日,59,1.1.3911,com.racing.ambulancesimulation.rescuerush,,enjoysportsgame@hotmail.com
93,Star Dream,Carbonhydrate Games,益智,4.4,48,"10,000",2018年12月6日,53,1.4,com.game.stardream,,mzhe4531@gmail.com
94,Hilda Creatures,BIGUMAKU Ltd,模拟,4.7,464,"5,000",2018年12月6日,97,1.0.3,com.bigumaku.hildacreatures,http://www.bigumaku.com,apps@bigumaku.com
95,Winter Ski Park: Snow Driver,Play With Games,竞速,4.5,404,"100,000",2018年11月26日,因设备而异,1.0.1,com.playwithgames.snow.driver.car.winter,http://www.playwithgames.com,info@playwithgames.com
96,Elf On The Shelf Live Tracker Radar,Kitcheo,模拟,2.2,45,"5,000",2018年11月15日,7.1,1.0,nov.kitcheo.liveelvestrackerradar,,Kitcheo.Studio@aol.com
97,Limousine Car Driving Real Parking,play.io,模拟,4.0,87,"50,000",2018年12月11日,48,1.0.1,com.play.io.limousine.car.driving.parking.games,http://playinteractive.io,play.interactive.io@gmail.com
98,足球前锋王,mobirix,体育,4.2,181,"10,000",2018年12月11日,19,1.0.3,com.mobirix.soccerstars,https://www.facebook.com/mobirixplayen,help@mobirix.com
99,娃娃打扮LOL,Best Dress Up Games For Girls,休闲,4.3,227,"10,000",2018年11月20日,56,1.0,com.bestdressupgames.dolls,,topdressupgames@gmail.com
100,Idle Airport Tycoon - 管理机场游戏,Codigames,模拟,4.5,"1,160","50,000",2018年11月21日,39,1.06,com.codigames.idle.airport.tycoon,http://codigames.com,support+iat@codigames.com
101,神龙部落大消除 - 神龙成长开心消消乐消除游戏,Super Awesome Inc.,益智,4.5,602,"10,000",2018年12月7日,55,1.0.9,com.SuperAwesome.DragonVillageBlast,http://superawesome.co.kr,contact@superawesome.co.kr
102,真实竞速赛车-极限狂野飞车,YUNCHENWANGLUO,竞速,4.6,"2,500","100,000",2018年12月7日,82,1.0.7,com.realroadracing.speedchasinggame,,YUNCHENWANGLUO@gmail.com
103,"Hunter's Trail",Miki Elting,冒险,3.8,12,"1,000",2018年12月5日,80,1.0.1,com.trail.us.one,,eridzura@gmail.com
104,Xmas Bubble Shooter: Christmas Pop,Bubble Quest & Free Bubble Pop by Difference Games,益智,4.7,90,"5,000",2018年12月5日,55,1.0.3,com.dg.puzzlebrothers.bubble.quest.shooter.pop.christmas,http://www.differencegames.com,bubblequest@differencegames.com
105,Elf Bowling,Alpha Zeta,休闲,2.7,41,"1,000",2018年12月2日,7.2,2.0,uw.elfbowl,,alphazetaapplications@gmail.com
106,Texas Holdem Poker Offline:Free Texas Poker Games,"Saga Fun,Slots,Casino,Slot Machines,Bingo,Poker!",赌场,4.3,18,"1,000",2018年12月10日,36,1.5,com.sagafun.poker,,support@sagafun.com
107,Rev Heads Rally,Spunge Games Pty Ltd,竞速,4.3,407,"50,000",2018年11月30日,92,3.1,com.spungegames.spungeracers,http://www.spungegames.com,mark@spungegames.com
108,SIEGE: World War II,Simutronics Corp,策略,4.3,"3,553","100,000",2018年11月19日,95,1.8.25,com.simutronics.b17,http://siegeworldwarii.com,siegeww2-support@simutronics.com
109,Ballz n Glass Blast,Carbonhydrate Games,街机,4.0,69,"10,000",2018年12月10日,36,1.2,com.linglong.glassbouncing,,mzhe4531@gmail.com
110,Supercar Racing 2018,GT Action Games,竞速,4.3,224,"100,000",2018年11月16日,因设备而异,因设备而异,com.gtactiongames.supercarracing2018,http://www.gtactiongames.com,gtactiongames@gmail.com
111,Real Gangster Crime Simulator 3D,Oppana Games,模拟,4.3,268,"50,000",2018年11月29日,84,0.3,com.OppanaGames.real.gangster.crime.simulator,,oppanagames@gmail.com
112,凯尔斯医生 - 家庭医疗,GameHouse,休闲,4.4,"1,172","50,000",2018年11月30日,47,1.8,com.gamehouse.dc3,https://www.gamehouseoriginalstories.com/contact-us,ghos@gamehouse.com
113,Is-it Love? Sebastian - Adventure & Romance,1492 Studio,休闲,4.6,"6,003","100,000",2018年12月4日,82,1.2.182,net.isitlove.mysteryspell.sebastian,http://1492.io,studio@1492.io
114,Neighbor House Escape Game,Crafting Inc.,模拟,3.7,75,"10,000",2018年11月19日,14,0.1,com.helloneighbor.map.minecraftmods.mcpe,,brandsmorris@outlook.fr
115,战士传奇,Real Road Racing,休闲,4.5,"1,587","100,000",2018年11月22日,44,1.1.1,com.warriorlegend.shadowfightinggame,,natalmyachnone@mail.ru
116,Hidden Object - White Christmas,Beautiful Hidden Objects Games by Difference Games,休闲,4.7,113,"1,000",2018年11月16日,31,1.0.0,air.com.dg.differencegames.hiddenobject.whitechristmas,http://differencegames.com,hiddenobject@differencegames.com
117,Fancy Spades: Best Strategy Card Games,"FancyCorn Co.,Ltd",卡牌,4.2,64,"5,000",2018年12月7日,52,1.2.5,com.fancycornstudio.spades,http://www.fancycornstudio.com,contact@fancycornstudio.com
118,Ninja Samurai Revenge,Survival Games Production,动作,4.5,166,"50,000",2018年12月5日,45,1.3,com.survival.games.production.ninja.samurai.revenge,,survivalgamesproduction1@gmail.com
119,Huuuge Diamonds Slot Machine,Huuuge Global,赌场,4.3,62,"5,000",2018年11月29日,51,1.0.12,game.huuuge.diamonds.slot.machines,http://www.huuugegames.com/,huuuge.global.limited@gmail.com
120,英雄纪元：僵尸世界大战,Wolf Game Studio,策略,4.6,425,"5,000",2018年12月10日,87,1.0.2,com.wolf.coz2c1,,loudgamestudios@gmail.com
121,Just 24,Sweet Sweet Candy,益智,2.5,39,"10,000",2018年11月13日,13,1.0,com.chase_dolphin.just24,,sweetsweetcandy789@gmail.com
122,Vegas Night Slots - Free Casino Slot Machine Games,Arekool Inc,赌场,4.6,320,"5,000",2018年12月5日,64,1.05,com.casino.slots.free.vegasnightslots,http://www.mangolee.com,slot@mangolee.com
123,Super Adam Adventure 2 - More Levels,Super 64 Games,动作,4.4,51,"10,000",2018年12月7日,14,1.1.16,com.game64.superadventure2,,tiptop.hao@gmail.com
124,Hidden - Bonfire Stories: Faceless Gravedigger,Big Fish Games,休闲,4.2,223,"5,000",2018年12月5日,42,1.0,com.bigfishgames.bonfiregravediggergoog,http://www.bigfishgames.com,info@bigfishgames.com
125,Deck Your Halls,Freeform,休闲,3.8,13,"1,000",2018年12月7日,65,1.0.1,com.freeform.deckyourhalls,http://freeform.com/,freeformd@gmail.com
126,化妝美容院,Kid58 GameStudio,休闲,4.1,232,"100,000",2018年11月20日,97,8.29.00.01,com.kid58.lianyong.salon,,cn@kid58.com
127,Bubble Shooter - Classic Pop,Casual Candy Match,休闲,4.7,102,"10,000",2018年12月11日,31,1.0.4,com.Bubble.Shooter.Classic.Pop,,bubblego2016@gmail.com
128,屹立不倒！,Noodlecake Studios Inc,街机,4.2,195,"10,000",2018年12月7日,63,1.0.3,com.noodlecake.smoof.trip,http://www.noodlecake.com,support+trippy@noodlecake.com
129,机场世界：飞行模拟器和机场大楼,Survival Crafting & Exploration Adventure Games,冒险,4.6,134,"10,000",2018年11月30日,67,1.0,com.survivalcrafting.airport.city.pilot.plane.craft.fly.simulator.flight.air.traffic.control.airline.commander.building.flying,,freesandboxexploration@gmail.com
130,3D Snake.io 2019,Timuz Games,动作,4.1,98,"10,000",2018年12月12日,25,1.4,com.timuzgames.snake.io2019,http://www.timuz.com,info@timuz.com
131,"Stack Blocks - Music Games, Color Block Switch",AMANOTES,音乐,4.4,48,"10,000",2018年12月7日,因设备而异,1.1.4,com.nama.stack,http://amanotes.com,publishing@amanotes.com
132,bumper cars.io:Blocky Arena,ByteGame,动作,4.6,9,"5,000",2018年12月12日,29,1.9.2.1,com.pixelbumpergame.bumpercarsio,,xinjialiu888@gmail.com
133,Ultimate Bus Driving- Free 3D Realistic Simulator,Games2win.com,竞速,4.6,51,"10,000",2018年12月6日,因设备而异,1.0,com.games2win.ultimatebusdriver,http://www.games2win.com,android@games2win.com
134,New Romance of the Three Kingdoms,BBGame HK,策略,3.6,"1,449","50,000",2018年11月26日,29,1.1.0,com.bbgame.sgksnapk.wld,https://sangokushi.bbgame.global/,csen@bb.game
135,Highway Traffic Car Racing Game 2019,Core Sol Hub,街机,4.5,8,"1,000",2018年11月28日,42,0.1,com.coresolhub.highwaytrafficcarracinggame2019,,support@coresolhub.com
136,Racing Ferocity 3D: Endless,GAMEXIS,竞速,4.8,167,"100,000",2018年12月7日,57,2.7.11,com.gamexis.racing.ferocity.apps,,gamexisaso@gmail.com
137,Free NBA Live TV,Sports X Live TV,体育,3.5,2,"1,000",2018年12月7日,2.8,1.28,com.nba.bafretu.hd.live,,kammal.jaafri@gmail.com
138,Stickman Archer: Bow and Row,Addictive Arcade Free Team,街机,3.9,80,"10,000",2018年11月30日,30,1.1,com.adventure.stickman.heroarche,,addictivearcade.aateam@gmail.com
139,Ball Pack,Ketchapp,街机,3.9,462,"100,000",2018年11月23日,31,1.0.2,com.ketchapp.ballpack,http://www.ketchappgames.com,support@ketchappgames.com
140,Happy Paint,Happy Pixel Team,知识问答,4.8,21,"1,000",2018年12月6日,46,1.0.0.1,color.by.number.paint.free.pixel,,bunana8citra@outlook.com
141,Top Bubble Pop,Fun Match 3 Games,桌面和棋类,4.5,162,"10,000",2018年12月6日,因设备而异,1.1.3,pop.bubble.top,http://www.ilyon.net,support@ilyon.net
142,UFO.io：多人游戏,Homa Games,休闲,3.6,114,"50,000",2018年11月28日,34,2.5.3,com.cubegame.festio,http://www.homagames.com,contact@homagames.com
143,Crown Four Kingdoms(星界 - 王冠),"X-Legend Entertainment Co., Ltd.",角色扮演,4.1,"5,355","100,000",2018年11月13日,60,8.5.8,com.xlegend.crownfourkingdoms,https://www.x-legend.com/crownfourkingdoms/,info@x-legend.com.tw
144,Word Album - A crossword puzzle,WeFun Games,文字,4.7,33,"1,000",2018年12月11日,34,1.0.6,puzzle.wordgame.boardcrossy,,alanvelezvip@gmail.com
145,Chrome Shooter,Cookie Crush Games,休闲,4.5,276,"10,000",2018年12月6日,因设备而异,1.1.4,shooter.chrome,http://www.ilyon.net,support@ilyon.net
146,Tiny Gladiators 2 - 格斗锦标赛,BoomBit Games,动作,4.8,"8,041","100,000",2018年12月9日,因设备而异,1.1.3,com.boombitgames.Tiny2,http://www.boombitgames.com/,support@boombit.com
147,Endless Odyssey,yuan. hao99,角色扮演,3.8,40,"5,000",2018年12月5日,87,2.0.13,com.app.eo,,odyssey2018contact@gmail.com
148,Minna Home Sweet假装游乐场,Pigstamp Studio,教育,4.5,600,"50,000",2018年11月14日,41,1.1.1,com.pigstamp.minnahome,,pigstamp.studio@gmail.com
149,Player Nes Games 96 in 1,EmulatorGames,模拟,4.2,232,"10,000",2018年11月20日,4.7,2,com.EmulatorGames.PlayerNesGames,,qwertymix291@gmail.com
